,tweet_preprocessing
367,semenjak pandemi market karuan alias crash kesempatanku konsisten nabung reks 
368,jual kejutan kejutan francine pascal rp pesan via bukalapak klik â 
369,jual kejutan kejutan francine pascal rp pesan via bukalapak klik 
370,min bsa bantu alamat kantor sicepat d lhokseumawe aceh 
371,ganti smartphone kapasitas battery terbesar indonesia kuy ikutan xtreme flash sale samsun 
372,rt ganti smartphone kapasitas battery terbesar indonesia kuy ikutan xtreme flash sale samsung officiaâ 
373,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlaku 
374,hei bos rubah orderan buyer sy resi otomatis sicepat manual jne acc bl s 
375,rt dapatkan diskon spesial im ooredoo bukalapak 
376,investasi emas menurutku resikonya rendah emas mahal 
377,pas b modal k
378,order pomade langsung gt gt gt bukalapak
379,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlakuâ 
380,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlaku 
381,tenaaang tetep belanja ngerasain nya 
382,udah gak belanja bl toko gak verified trus promo nya gak hijau pâ 
383,udah gak belanja bl toko gak verified trus promo nya gak hijau p 
384,mengajakmu bergabung bukalapak memberikanmu credits rp cek 
385,mengajakmu bergabung bukalapak memberikanmu credits rp cek 
386,peserta kartu prakerja gelombang lupa ya beli pelatihan pertamanya batas ak 
387,min bukalapak lemot yaa aplikasinya nya
388,hai kak maaf ketidaknyamanannya yuk pindah dm informasikan kendala email nomoâ 
389,hai kak maaf ketidaknyamanannya yuk pindah dm informasikan kendala email nomo 
390,siang kak maaf kendala sertifikatnya nih bikin nunggu bella cek kendalan 
391,hai kak kakak mengalami kendala terkait mitra bukalapak menghubungi cs mitra bukalapak li 
392,waah sih milih investasi emas yah emas harganya cenderung stabil 
393,tolong dibantu penjualan no pesanan diterima pembeli pembeli 
394,hai kak mohon maaf yuk pindah dm infokan kendala detail beserta email danâ 
395,hai kak mohon maaf yuk pindah dm infokan kendala detail beserta email 
396,buang berhari ternayata bukalapak melindungi pelangan berpihak pelapakâ 
397,buang berhari ternayata bukalapak melindungi pelangan berpihak pelapak 
398,hai kak maaf banget nggak nyaman ya kak yuk infoin detail kendala dm dap 
399,hi kak maaf ketidaknyamanannya ya kak bella infokan proses jual instan mengikuti ta 
400,saldo pulsa nya blm masuk
401,gimana ya min transfer selisihnya 
402,hallo kak maaf nih saldo pulsa kakak masuk pindah dm yuk kak ngobrolnya biar enak a 
403,kesulitan pengiriman barang jual berat mohon bantuannya sayaâ 
404,hai kak senang hati bella informasikan mengaktifkan kurir lapak l 
405,yakiiin lho jam malem 
406,for sale like new pengiriman tangsel transaksi bukalapak shopee by request nego tp j 
407,biar jam malem nya berfaedah nih kasih promo flash deal pigeon breast pump electric go mini
408,woi gimana tanggung udah loh saldo emoney rb ga masuk parah banget sih lamaâ 
409,woi gimana tanggung udah loh saldo emoney rb ga masuk parah banget sih 
410,halo min dpt sms notifikasi ganti no telf akun bl dapet email ya 
411,biarcepet laku spefikasi dm aj harga free ongkir rekber tokped bukalapak
412,cek perlengkapan butuhkan harganya terbaik 
413,cek perlengkapan butuhkan harganya terbaik 
